Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,800,7499,198,30178,6059.47,12.375%,19.12869,71.38,4.28,3821.2
TOTAL,800,7499,198,30178,6059.47,12.375%,19.12869,71.38,4.28,3821.2
